,表チーム,裏チーム,表得点,裏得点
3407,マーリンズ,メッツ,0,2
3408,レッズ,パイレーツ,7,4
3409,Rソックス,エンゼルス,8,2
3410,レッズ,パイレーツ,0,5
3411,ジャイアンツ,エンゼルス,8,1
3412,ロッキーズ,パイレーツ,6,2
3413,レッズ,ツインズ,15,9
3414,マーリンズ,メッツ,2,1
3415,レッズ,ツインズ,1,3
3416,レンジャーズ,ドジャース,5,12
3417,ジャイアンツ,エンゼルス,3,4
3418,レッズ,ツインズ,8,2
3419,レンジャーズ,ドジャース,2,3
3420,ジャイアンツ,エンゼルス,4,2
3421,タイガース,パイレーツ,13,10
3422,タイガース,パイレーツ,0,1
3423,ヤンキース,エンゼルス,4,3
3424,ブルージェイズ,ツインズ,7,4
3425,カージナルス,パイレーツ,5,6
3426,カージナルス,ツインズ,1,4
3427,カブス,メッツ,7,1
3428,カージナルス,ツインズ,7,5
3429,オリオールズ,メッツ,2,1
3430,オリオールズ,メッツ,1,0
3431,カブス,ドジャース,1,2
3432,ヤンキース,メッツ,4,1
3433,カブス,ドジャース,9,4
3434,ジャイアンツ,パイレーツ,2,11
3435,ヤンキース,メッツ,4,3
3436,カブス,ドジャース,11,5
3437,ヤンキース,メッツ,0,2
3438,ジャイアンツ,パイレーツ,5,6
3439,ロッキーズ,ドジャース,3,1
3440,ブリュワーズ,ツインズ,8,3
3441,ドジャース,メッツ,5,2
3442,ロッキーズ,ドジャース,3,1
3443,Wソックス,パイレーツ,0,7
3444,ブリュワーズ,ツインズ,5,4
3445,Wソックス,パイレーツ,2,3
3446,ブリュワーズ,ツインズ,1,3
3447,ドジャース,メッツ,8,3
3448,タイガース,ツインズ,2,4
3449,パドレス,パイレーツ,3,2
3450,ドジャース,メッツ,8,7
3451,タイガース,ツインズ,4,1
3452,パドレス,パイレーツ,8,5
3453,インディアンス,ツインズ,9,8
3454,パイレーツ,メッツ,6,4
3455,アスレチックス,ヤンキース,10,5
3456,インディアンス,ツインズ,4,7
3457,パイレーツ,メッツ,3,4
3458,アスレチックス,ヤンキース,6,7
3459,アスレチックス,ヤンキース,2,6
3460,エンゼルス,ヤンキース,1,2
3461,ロッキーズ,ドジャース,4,6
3462,インディアンス,ツインズ,1,7
3463,パイレーツ,ドジャース,1,17
3464,エンゼルス,ヤンキース,1,3
3465,インディアンス,ツインズ,5,7
3466,レイズ,メッツ,1,5
3467,アストロズ,ヤンキース,5,1
3468,Wソックス,ツインズ,2,4
3469,パイレーツ,ドジャース,3,8
3470,レイズ,メッツ,3,0
3471,アストロズ,ヤンキース,5,6
3472,Wソックス,ツインズ,2,7
3473,アストロズ,ヤンキース,3,5
3474,パイレーツ,ドジャース,4,6
3475,レイズ,メッツ,9,0
3476,エンゼルス,ツインズ,4,2
3477,エンゼルス,ツインズ,2,1
3478,エンゼルス,ツインズ,5,7
3479,エンゼルス,ドジャース,2,3
3480,Rソックス,ツインズ,2,6
3481,Rソックス,ツインズ,1,4
3482,エンゼルス,ドジャース,5,4
3483,Rソックス,ツインズ,9,2
3484,レンジャーズ,ツインズ,8,1
3485,フィリーズ,メッツ,0,3
3486,エンゼルス,ドジャース,3,5
3487,レンジャーズ,ツインズ,9,6
3488,ナショナルズ,ヤンキース,0,3
3489,ナショナルズ,メッツ,5,4
3490,ナショナルズ,ヤンキース,5,4
3491,レンジャーズ,ツインズ,0,2
3492,ブリュワーズ,ドジャース,5,2
3493,ブリュワーズ,ドジャース,1,0
3494,ブリュワーズ,ドジャース,4,6
3495,マリナーズ,ヤンキース,2,7
3496,マリナーズ,ヤンキース,5,7
3497,ブリュワーズ,ドジャース,5,21
3498,ブリュワーズ,パイレーツ,0,1
3499,マリナーズ,ヤンキース,3,4
3500,ブリュワーズ,パイレーツ,3,2
3501,アストロズ,ドジャース,2,1
3502,Rソックス,ヤンキース,1,8
3503,Rソックス,ヤンキース,11,0
3504,アストロズ,ドジャース,14,0
3505,パドレス,メッツ,3,2
3506,Dバックス,パイレーツ,9,3
3507,アストロズ,ドジャース,2,3
3508,Rソックス,ヤンキース,1,11
3509,ブレーブス,ヤンキース,5,3
3510,ジャイアンツ,ドジャース,5,2
3511,ブレーブス,ヤンキース,5,8
3512,パドレス,メッツ,4,6
3513,ブレーブス,ヤンキース,2,6
3514,Dバックス,パイレーツ,2,1
3515,ジャイアンツ,ドジャース,2,1
3516,Dバックス,パイレーツ,7,2
3517,メッツ,ヤンキース,7,5
3518,Dバックス,パイレーツ,3,0
3519,ジャイアンツ,ドジャース,3,4
3520,オリオールズ,ツインズ,2,6
3521,メッツ,ヤンキース,6,7
3522,オリオールズ,ツインズ,4,5
3523,カージナルス,ドジャース,5,3
3524,ロイヤルズ,ヤンキース,2,7
3525,カージナルス,ドジャース,5,2
3526,フィリーズ,パイレーツ,17,5
3527,ロイヤルズ,ヤンキース,10,5
3528,カージナルス,ドジャース,3,1
3529,フィリーズ,パイレーツ,3,2
3530,ロイヤルズ,ヤンキース,3,6
3531,パドレス,ドジャース,1,11
3532,オリオールズ,ヤンキース,3,6
3533,ロイヤルズ,ツインズ,5,8
3534,パドレス,ドジャース,4,5
3535,オリオールズ,ヤンキース,7,5
3536,レイズ,ツインズ,1,5
3537,ナショナルズ,パイレーツ,0,2
3538,パドレス,ドジャース,3,7
3539,ブリュワーズ,パイレーツ,3,6
3540,レンジャーズ,ヤンキース,12,7
3541,Dバックス,ドジャース,3,1
3542,レンジャーズ,ヤンキース,3,5
3543,Dバックス,ドジャース,2,3
3544,レンジャーズ,ヤンキース,2,7
3545,ブレーブス,メッツ,4,2
3546,インディアンス,ツインズ,4,5
3547,レイズ,ヤンキース,1,4
3548,ブレーブス,メッツ,2,1
3549,インディアンス,ツインズ,6,2
3550,メッツ,パイレーツ,12,6
3551,レイズ,ヤンキース,6,1
3552,Dバックス,ドジャース,2,3
3553,レイズ,ヤンキース,3,1
3554,Dバックス,ドジャース,2,3
3555,ブルージェイズ,ヤンキース,5,7
3556,インディアンス,ツインズ,2,0
3557,ブレーブス,メッツ,5,4
3558,ブルージェイズ,ヤンキース,6,11
3559,ロイヤルズ,ツインズ,4,6
3560,メッツ,ドジャース,4,2
3561,ブルージェイズ,ヤンキース,2,10
3562,レッズ,メッツ,4,6
3563,ロイヤルズ,ツインズ,2,8
3564,Wソックス,ヤンキース,6,2
3565,メッツ,ドジャース,4,11
3566,ロイヤルズ,ツインズ,5,6
3567,カブス,パイレーツ,4,5
3568,Wソックス,ヤンキース,4,5
3569,レッズ,メッツ,6,1
3570,メッツ,ドジャース,7,3
3571,Wソックス,ヤンキース,4,1
3572,パイレーツ,ツインズ,2,5
3573,タイガース,ヤンキース,8,7
3574,パイレーツ,ツインズ,4,6
3575,タイガース,ヤンキース,5,7
3576,ジャイアンツ,メッツ,2,1
3577,タイガース,ツインズ,8,15
3578,タイガース,ヤンキース,1,2
3579,タイガース,ツインズ,4,5
3580,ロッキーズ,ドジャース,2,8
3581,ジャイアンツ,メッツ,3,6
3582,タイガース,ヤンキース,11,7
3583,カブス,パイレーツ,9,2
3584,タイガース,ツインズ,7,5
3585,ジャイアンツ,メッツ,3,5
3586,カージナルス,パイレーツ,6,7
3587,ロッキーズ,ドジャース,2,3
3588,タイガース,ツインズ,4,5
3589,ブルージェイズ,ヤンキース,0,11
3590,ジャイアンツ,メッツ,3,1
3591,ブルージェイズ,ヤンキース,8,7
3592,ロッキーズ,ドジャース,2,5
3593,カージナルス,パイレーツ,2,1
3594,アスレチックス,ツインズ,4,6
3595,ブルージェイズ,ヤンキース,3,2
3596,カブス,パイレーツ,1,0
3597,アスレチックス,ツインズ,7,1
3598,パドレス,ドジャース,5,3
3599,Rソックス,ヤンキース,2,3
3600,ナショナルズ,メッツ,0,3
3601,カブス,パイレーツ,1,0
3602,アスレチックス,ツインズ,6,2
3603,Rソックス,ヤンキース,1,10
3604,パドレス,ドジャース,2,7
3605,アスレチックス,ツインズ,6,2
3606,カブス,パイレーツ,1,3
3607,ナショナルズ,メッツ,0,3
3608,Rソックス,ヤンキース,11,6
3609,パドレス,ドジャース,0,14
3610,オリオールズ,ヤンキース,8,10
3611,カブス,パイレーツ,1,2
3612,オリオールズ,ヤンキース,2,3
3613,ロイヤルズ,ツインズ,6,10
3614,ブレーブス,パイレーツ,1,0
3615,ナショナルズ,メッツ,15,0
3616,オリオールズ,ヤンキース,6,3
3617,ブレーブス,パイレーツ,6,1
3618,ブレーブス,パイレーツ,2,1
3619,ヤンキース,ツインズ,7,2
3620,フィリーズ,メッツ,4,3
3621,ヤンキース,ツインズ,5,10
3622,ヤンキース,ツインズ,1,3
3623,タイガース,ツインズ,4,2
3624,レッズ,パイレーツ,1,5
3625,タイガース,ツインズ,4,11
3626,レッズ,パイレーツ,3,7
3627,レッズ,パイレーツ,2,3
3628,タイガース,ツインズ,3,9
3629,マーリンズ,パイレーツ,3,5
3630,マーリンズ,メッツ,5,3
3631,Wソックス,ツインズ,4,12
3632,マーリンズ,メッツ,0,13
3633,Wソックス,ツインズ,3,8
3634,マーリンズ,メッツ,3,4
3635,Wソックス,ツインズ,4,5
3636,ロイヤルズ,パイレーツ,6,7
3637,ロイヤルズ,パイレーツ,1,2
3638,ブレーブス,メッツ,7,3
3639,ロイヤルズ,パイレーツ,1,2
3640,ブレーブス,メッツ,0,3
3641,ブリュワーズ,パイレーツ,8,3
3642,ブリュワーズ,パイレーツ,0,3
3643,ブレーブス,メッツ,1,4
3644,ブリュワーズ,パイレーツ,13,6
3645,マーリンズ,メッツ,8,1
3646,マーリンズ,メッツ,0,1
3647,マーリンズ,メッツ,0,1
3648,マーリンズ,フィリーズ,1,20
3649,マーリンズ,フィリーズ,6,3
3650,レッズ,フィリーズ,5,6
3651,カブス,マーリンズ,8,4
3652,カブス,マーリンズ,1,2
3653,カブス,マーリンズ,10,6
3654,カブス,マーリンズ,0,6
3655,Rソックス,マーリンズ,7,3
3656,Rソックス,マーリンズ,4,2
3657,メッツ,マーリンズ,4,2
3658,メッツ,マーリンズ,4,1
3659,パイレーツ,マーリンズ,2,7
3660,パイレーツ,マーリンズ,1,0
3661,パイレーツ,マーリンズ,7,3
3662,ロッキーズ,マーリンズ,1,0
3663,フィリーズ,マーリンズ,1,2
3664,ブレーブス,マーリンズ,9,2
3665,ブレーブス,マーリンズ,3,6
3666,レッズ,フィリーズ,3,4
3667,ブレーブス,マーリンズ,10,5
3668,パイレーツ,フィリーズ,0,7
3669,パイレーツ,フィリーズ,2,3
3670,Dバックス,フィリーズ,8,2
3671,ブレーブス,フィリーズ,3,7
3672,エンゼルス,アスレチックス,5,6
3673,エンゼルス,アスレチックス,2,1
3674,エンゼルス,アスレチックス,8,3
3675,エンゼルス,アスレチックス,7,4
3676,レンジャーズ,アスレチックス,1,3
3677,パドレス,マーリンズ,0,4
3678,レンジャーズ,アスレチックス,4,1
3679,レンジャーズ,アスレチックス,2,6
3680,ジャイアンツ,マーリンズ,5,7
3681,Wソックス,アスレチックス,1,8
3682,ジャイアンツ,マーリンズ,1,3
3683,ジャイアンツ,マーリンズ,4,5
3684,Rソックス,アスレチックス,1,4
3685,Dバックス,マーリンズ,5,9
3686,ジャイアンツ,フィリーズ,3,6
3687,メッツ,フィリーズ,3,1
3688,Dバックス,マーリンズ,5,3
3689,Dバックス,マーリンズ,4,0
3690,メッツ,マーリンズ,2,8
3691,メッツ,マーリンズ,2,5
3692,マリナーズ,アスレチックス,1,0
3693,マリナーズ,アスレチックス,3,4
3694,Dバックス,アスレチックス,7,1
3695,ブレーブス,フィリーズ,0,3
3696,Dバックス,アスレチックス,0,3
3697,Dバックス,アスレチックス,1,2
3698,レイズ,アスレチックス,1,0
3699,レイズ,アスレチックス,4,3
3700,ブレーブス,フィリーズ,0,4
3701,レイズ,アスレチックス,6,0
3702,ブルージェイズ,フィリーズ,6,5
3703,レイズ,アスレチックス,3,7
3704,ブルージェイズ,フィリーズ,1,2
3705,ロイヤルズ,アスレチックス,2,7
3706,ロイヤルズ,アスレチックス,2,0
3707,ブルージェイズ,フィリーズ,5,3
3708,アストロズ,アスレチックス,6,3
3709,アストロズ,アスレチックス,13,5
3710,ブリュワーズ,フィリーズ,12,4
3711,インディアンス,アスレチックス,1,3
3712,メッツ,マーリンズ,5,2
3713,インディアンス,アスレチックス,2,7
3714,レイズ,マーリンズ,2,3
3715,レイズ,マーリンズ,9,6
3716,ロッキーズ,フィリーズ,4,5
3717,インディアンス,アスレチックス,15,3
3718,レイズ,マーリンズ,0,3
3719,ロッキーズ,フィリーズ,7,2
3720,パドレス,アスレチックス,2,6
3721,パドレス,アスレチックス,2,4
3722,ブリュワーズ,マーリンズ,4,5
3723,カージナルス,フィリーズ,5,6
3724,カージナルス,フィリーズ,7,6
3725,ブレーブス,マーリンズ,12,1
3726,ヤンキース,フィリーズ,4,2
3727,ジャイアンツ,アスレチックス,3,4
3728,ナショナルズ,マーリンズ,10,3
3729,ヤンキース,フィリーズ,6,0
3730,ジャイアンツ,アスレチックス,5,5
3731,ブルージェイズ,アスレチックス,1,10
3732,ヤンキース,フィリーズ,0,3
3733,ブルージェイズ,アスレチックス,2,6
3734,ナショナルズ,フィリーズ,3,4
3735,ブルージェイズ,アスレチックス,3,8
3736,ナショナルズ,フィリーズ,17,7
3737,タイガース,アスレチックス,0,1
3738,ナショナルズ,フィリーズ,2,3
3739,タイガース,アスレチックス,0,6
3740,ドジャース,アスレチックス,4,2
3741,カージナルス,マーリンズ,1,2
3742,ナショナルズ,フィリーズ,3,4
3743,ドジャース,アスレチックス,2,3
3744,カージナルス,マーリンズ,3,2
3745,オリオールズ,フィリーズ,2,3
3746,マリナーズ,アスレチックス,6,7
3747,マリナーズ,アスレチックス,2,3
3748,マリナーズ,アスレチックス,2,0
3749,オリオールズ,フィリーズ,1,4
3750,アストロズ,アスレチックス,3,4
3751,メッツ,マーリンズ,6,2
3752,アストロズ,アスレチックス,1,7
3753,メッツ,マーリンズ,3,4
3754,アストロズ,アスレチックス,9,4
3755,レンジャーズ,アスレチックス,0,9
3756,メッツ,マーリンズ,4,3
3757,レンジャーズ,アスレチックス,0,6
3758,ヤンキース,マーリンズ,2,1
3759,レンジャーズ,アスレチックス,4,2
3760,ヤンキース,マーリンズ,3,9
3761,マリナーズ,アスレチックス,7,1
3762,ブレーブス,マーリンズ,5,0
3763,マリナーズ,アスレチックス,5,7
3764,ブレーブス,マーリンズ,0,1
3765,マリナーズ,アスレチックス,8,7
3766,ブレーブス,マーリンズ,1,3
3767,ドジャース,フィリーズ,7,6
3768,マリナーズ,アスレチックス,2,8
3769,ヤンキース,アスレチックス,3,6
3770,ブレーブス,マーリンズ,4,0
3771,ヤンキース,アスレチックス,5,1
3772,ブルージェイズ,マーリンズ,6,5
3773,ドジャース,フィリーズ,3,7
3774,ヤンキース,アスレチックス,2,8
3775,レンジャーズ,アスレチックス,4,8
3776,マーリンズ,フィリーズ,2,5
3777,ブルージェイズ,マーリンズ,3,6
3778,マーリンズ,フィリーズ,1,5
3779,エンゼルス,アスレチックス,9,7
3780,ブルージェイズ,マーリンズ,6,1
3781,エンゼルス,アスレチックス,0,10
3782,エンゼルス,アスレチックス,3,21
3783,フィリーズ,マーリンズ,1,3
3784,ツインズ,アスレチックス,6,7
3785,フィリーズ,マーリンズ,9,4
3786,ツインズ,アスレチックス,2,2
3787,フィリーズ,マーリンズ,1,2
3788,マーリンズ,フィリーズ,3,5
3789,ツインズ,アスレチックス,5,1
3790,ナショナルズ,マーリンズ,5,8
3791,Rソックス,フィリーズ,2,1
3792,ナショナルズ,マーリンズ,4,2
3793,Rソックス,フィリーズ,4,7
3794,メッツ,フィリーズ,24,4
3795,メッツ,フィリーズ,2,4
3796,レッズ,マーリンズ,4,2
3797,レッズ,マーリンズ,0,1
3798,メッツ,フィリーズ,3,1
3799,レッズ,マーリンズ,1,5
3800,レッズ,マーリンズ,0,6
3801,メッツ,フィリーズ,8,2
3802,ナショナルズ,フィリーズ,5,3
3803,ナショナルズ,フィリーズ,5,4
3804,ナショナルズ,フィリーズ,6,8
3805,カブス,フィリーズ,1,2
3806,カブス,フィリーズ,7,1
3807,カブス,フィリーズ,8,1
3808,ナショナルズ,フィリーズ,3,1
3809,ナショナルズ,フィリーズ,5,1
3810,マーリンズ,フィリーズ,2,14
3811,マーリンズ,フィリーズ,4,5
3812,マーリンズ,フィリーズ,6,4
3813,メッツ,フィリーズ,9,4
3814,メッツ,フィリーズ,2,5
3815,メッツ,フィリーズ,0,4
3816,ブレーブス,フィリーズ,10,2
3817,ブレーブス,フィリーズ,0,3
3818,ブレーブス,フィリーズ,1,3
3819,ツインズ,Wソックス,4,8
3820,カブス,ロッキーズ,9,7
3821,カブス,ブリュワーズ,0,4
3822,ナショナルズ,レッズ,2,0
3823,パイレーツ,タイガース,13,10
3824,パイレーツ,タイガース,8,6
3825,Wソックス,ロイヤルズ,8,0
3826,レイズ,ヤンキース,4,11
3827,ロイヤルズ,タイガース,2,3
3828,マリナーズ,ツインズ,1,0
3829,ブルージェイズ,インディアンス,13,11
3830,ブルージェイズ,インディアンス,4,13
3831,ブレーブス,カブス,6,5
3832,ヤンキース,タイガース,7,4
3833,ヤンキース,タイガース,2,4
3834,エンゼルス,ロイヤルズ,0,2
3835,オリオールズ,Rソックス,2,6
3836,Wソックス,ツインズ,6,3
3837,Wソックス,ツインズ,1,2
3838,Wソックス,ツインズ,8,5
3839,ロイヤルズ,ブルージェイズ,4,5
3840,カージナルス,カブス,5,8
3841,レイズ,オリオールズ,10,3
3842,タイガース,パイレーツ,3,8
3843,マリナーズ,タイガース,9,5
3844,メッツ,フィリーズ,6,9
3845,フィリーズ,オリオールズ,5,4
3846,ヤンキース,ナショナルズ,4,2
3847,カブス,ブレーブス,5,4
3848,ヤンキース,オリオールズ,10,3
3849,ドジャース,カブス,4,3
3850,アスレチックス,Wソックス,4,6
3851,メッツ,ヤンキース,8,5
3852,ブレーブス,ナショナルズ,3,8
3853,Rソックス,オリオールズ,5,0
3854,ロイヤルズ,ヤンキース,4,5
3855,マーリンズ,ブレーブス,1,9
3856,ロッキーズ,カブス,2,1
3857,アスレチックス,ヤンキース,2,7
3858,ロッキーズ,ブリュワーズ,2,3
3859,ブレーブス,ドジャース,0,6
3860,ロッキーズ,ブリュワーズ,0,4
3861,ブレーブス,ドジャース,0,3
3862,ヤンキース,Rソックス,4,5
3863,インディアンス,アストロズ,2,7
3864,ヤンキース,Rソックス,6,2
3865,インディアンス,アストロズ,1,3
3866,ブリュワーズ,ロッキーズ,6,0
3867,ドジャース,ブレーブス,5,6
3868,ドジャース,ブレーブス,6,2
3869,Rソックス,ヤンキース,16,1
3870,アストロズ,インディアンス,11,3
3871,Rソックス,ヤンキース,4,3
3872,ドジャース,ブリュワーズ,5,6
3873,ドジャース,ブリュワーズ,4,3
3874,アストロズ,Rソックス,7,2
3875,アストロズ,Rソックス,5,7
3876,ブリュワーズ,ドジャース,4,0
3877,Rソックス,アストロズ,8,2
3878,ブリュワーズ,ドジャース,1,2
3879,ブリュワーズ,ドジャース,2,5
3880,Rソックス,アストロズ,8,6
3881,Rソックス,アストロズ,4,1
3882,ドジャース,ブリュワーズ,2,7
3883,ドジャース,ブリュワーズ,5,1
3884,ドジャース,Rソックス,4,8
3885,ドジャース,Rソックス,2,4
3886,Rソックス,ドジャース,2,3
3887,Rソックス,ドジャース,9,6
3888,Rソックス,ドジャース,5,1
3889,カブス,ナショナルズ,4,3
3890,ナショナルズ,フィリーズ,7,6
3891,マーリンズ,メッツ,2,5
3892,オリオールズ,Rソックス,3,19
3893,アストロズ,オリオールズ,5,2
3894,ロッキーズ,ドジャース,2,5
3895,ブリュワーズ,カブス,3,1
