,表チーム,裏チーム,表得点,裏得点
2279,メッツ,ナショナルズ,8,6
2280,マーリンズ,ナショナルズ,3,7
2281,マーリンズ,ナショナルズ,4,9
2282,マーリンズ,ナショナルズ,3,9
2283,レンジャーズ,Rソックス,2,4
2284,ブルージェイズ,Rソックス,4,6
2285,ブルージェイズ,Rソックス,2,5
2286,ヤンキース,ブルージェイズ,6,1
2287,ヤンキース,ブルージェイズ,4,2
2288,ツインズ,Rソックス,2,1
2289,ヤンキース,ブルージェイズ,3,5
2290,ヤンキース,ブルージェイズ,4,7
2291,Wソックス,ブルージェイズ,2,4
2292,Wソックス,ブルージェイズ,5,14
2293,ツインズ,Rソックス,4,10
2294,Wソックス,ブルージェイズ,4,3
2295,ツインズ,Rソックス,0,3
2296,ロイヤルズ,ブルージェイズ,3,11
2297,フィリーズ,Rソックス,1,2
2298,フィリーズ,Rソックス,3,1
2299,Rソックス,ブルージェイズ,3,4
2300,Rソックス,ブルージェイズ,4,3
2301,ヤンキース,Rソックス,7,15
2302,Rソックス,ブルージェイズ,5,4
2303,レンジャーズ,ブルージェイズ,6,4
2304,ヤンキース,Rソックス,1,4
2305,ヤンキース,Rソックス,1,4
2306,ヤンキース,Rソックス,4,5
2307,レイズ,Rソックス,3,7
2308,レイズ,Rソックス,2,5
2309,レイズ,Rソックス,2,0
2310,インディアンス,Rソックス,5,4
2311,インディアンス,Rソックス,6,3
2312,インディアンス,Rソックス,4,10
2313,インディアンス,Rソックス,0,7
2314,マーリンズ,Rソックス,7,7
2315,マーリンズ,Rソックス,6,14
2316,アストロズ,Rソックス,6,3
2317,ブルージェイズ,Rソックス,2,7
2318,ブルージェイズ,Rソックス,0,1
2319,ブルージェイズ,Rソックス,3,4
2320,メッツ,Rソックス,8,0
2321,メッツ,Rソックス,3,5
2322,メッツ,Rソックス,3,4
2323,オリオールズ,Rソックス,2,6
2324,オリオールズ,Rソックス,10,3
2325,マリナーズ,ブルージェイズ,5,0
2326,ヤンキース,Rソックス,11,6
2327,マリナーズ,ブルージェイズ,9,3
2328,Rソックス,ブルージェイズ,3,5
2329,ヤンキース,Rソックス,8,5
2330,Rソックス,ブルージェイズ,5,2
2331,ヤンキース,Rソックス,2,10
2332,Rソックス,ブルージェイズ,5,3
2333,アスレチックス,ブルージェイズ,10,5
2334,アスレチックス,ブルージェイズ,3,1
2335,アスレチックス,ブルージェイズ,5,4
2336,アスレチックス,ブルージェイズ,9,2
2337,エンゼルス,ブルージェイズ,3,5
2338,エンゼルス,ブルージェイズ,5,4
2339,エンゼルス,ブルージェイズ,8,1
2340,ヤンキース,ブルージェイズ,7,2
2341,ヤンキース,ブルージェイズ,3,0
2342,オリオールズ,ブルージェイズ,4,5
2343,タイガース,Wソックス,6,1
2344,オリオールズ,ブルージェイズ,1,5
2345,オリオールズ,ブルージェイズ,3,4
2346,タイガース,Wソックス,1,0
2347,オリオールズ,ブルージェイズ,3,13
2348,レイズ,Wソックス,5,4
2349,ナショナルズ,ブルージェイズ,5,6
2350,ナショナルズ,ブルージェイズ,6,8
2351,レイズ,Wソックス,6,5
2352,ブレーブス,ブルージェイズ,11,4
2353,レイズ,Wソックス,1,2
2354,ブレーブス,ブルージェイズ,4,5
2355,タイガース,ブルージェイズ,2,3
2356,タイガース,ブルージェイズ,3,4
2357,アストロズ,Wソックス,10,1
2358,アストロズ,Wソックス,7,1
2359,マリナーズ,Wソックス,1,0
2360,マリナーズ,Wソックス,4,3
2361,タイガース,ブルージェイズ,9,1
2362,タイガース,ブルージェイズ,3,2
2363,メッツ,ブルージェイズ,6,8
2364,メッツ,ブルージェイズ,6,3
2365,ヤンキース,ブルージェイズ,2,6
2366,ツインズ,Wソックス,8,4
2367,ヤンキース,ブルージェイズ,8,5
2368,ヤンキース,ブルージェイズ,2,1
2369,ツインズ,Wソックス,5,3
2370,パイレーツ,Wソックス,10,6
2371,オリオールズ,ブルージェイズ,1,4
2372,パイレーツ,Wソックス,6,5
2373,オリオールズ,ブルージェイズ,4,5
2374,ツインズ,ブルージェイズ,8,3
2375,ツインズ,ブルージェイズ,5,0
2376,レンジャーズ,Wソックス,12,5
2377,ツインズ,ブルージェイズ,12,6
2378,レンジャーズ,Wソックス,0,3
2379,オリオールズ,Wソックス,3,2
2380,Rソックス,ブルージェイズ,10,7
2381,オリオールズ,Wソックス,1,11
2382,オリオールズ,Wソックス,9,3
2383,レイズ,ブルージェイズ,7,0
2384,レイズ,ブルージェイズ,3,1
2385,ブリュワーズ,Wソックス,3,8
2386,レイズ,ブルージェイズ,1,2
2387,オリオールズ,ブルージェイズ,3,5
2388,ブリュワーズ,Wソックス,5,0
2389,オリオールズ,ブルージェイズ,0,6
2390,ブリュワーズ,Wソックス,1,6
