,状況,打順,打者,結果,アウト,裏得点,表得点,イニング,表裏,攻撃チーム
39,2100,2,カブレラ,一ゴロ,3,2,0,5,裏,メッツ
40,0000,3,ブライアント,一フライ,1,2,0,6,表,カブス
41,1000,4,リゾ,右ライナー,2,2,0,6,表,カブス
42,2000,5,アルモラ,中安打,2,2,0,6,表,カブス
43,2100,6,バエス,二ゴロ,3,2,0,6,表,カブス
44,0000,3,コンフォート,四球,0,2,0,6,裏,メッツ
45,0100,4,メゾラコ,四球,0,2,0,6,裏,メッツ
46,0110,5,バティスタ,捕邪飛,1,2,0,6,裏,メッツ
47,1110,6,ゴンザレス,左ライナー,2,2,0,6,裏,メッツ
48,2110,7,ギローム,遊ゴロ,3,2,0,6,裏,メッツ
49,0000,7,ラッセル,右安打,0,2,0,7,表,カブス
50,0100,8,ラステラ,中安打,0,2,0,7,表,カブス
51,0101,9,シュワバー,中犠飛,1,2,1,7,表,カブス
52,1010,1,ゾブリスト,右二塁打,1,2,2,7,表,カブス
53,1010,2,ヘイワード,一ゴロ,2,2,2,7,表,カブス
54,2001,3,ブライアント,右安打,2,2,3,7,表,カブス
55,2100,4,リゾ,右ライナー,3,2,3,7,表,カブス
56,0000,8,レイエス,左フライ,1,2,3,7,裏,メッツ
57,1000,9,ロサリオ,遊ゴロ,2,2,3,7,裏,メッツ
58,2000,1,ニモー,空振り三振,3,2,3,7,裏,メッツ
59,0000,5,アルモラ,右安打,0,2,3,8,表,カブス
60,0100,6,ハップ,見逃し三振,1,2,3,8,表,カブス
61,1100,7,ラッセル,空振り三振,2,2,3,8,表,カブス
62,2100,8,コントレラス,左安打,2,2,3,8,表,カブス
63,2101,9,シュワバー,左本塁打,2,2,6,8,表,カブス
64,2000,1,ゾブリスト,中安打,2,2,6,8,表,カブス
65,2100,2,ヘイワード,見逃し三振,3,2,6,8,表,カブス
66,0000,2,カブレラ,四球,0,2,6,8,裏,メッツ
67,0100,3,コンフォート,空振り三振,1,2,6,8,裏,メッツ
68,1100,4,メゾラコ,遊ゴロ,2,2,6,8,裏,メッツ
69,2100,5,バティスタ,左二塁打,2,2,6,8,裏,メッツ
70,2011,6,ゴンザレス,中安打,2,4,6,8,裏,メッツ
71,2100,7,プラウェッキ,見逃し三振,3,4,6,8,裏,メッツ
72,0000,3,ブライアント,三安打,0,4,6,9,表,カブス
73,0000,4,リゾ,右二塁打,1,4,6,9,表,カブス
74,1010,5,レスター,二ゴロ,2,4,6,9,表,カブス
75,2001,6,ハップ,中安打,2,4,7,9,表,カブス
76,2100,7,ラッセル,左安打,2,4,7,9,表,カブス
77,2101,8,コントレラス,中フライ,3,4,7,9,表,カブス
78,0000,8,レイエス,四球,0,4,7,9,裏,メッツ
79,0100,9,ロサリオ,二ゴロ,1,4,7,9,裏,メッツ
80,1100,1,ニモー,中フライ,2,4,7,9,裏,メッツ
81,2100,2,カブレラ,空振り三振,3,4,7,9,裏,メッツ
