,試合ID,表チーム,裏チーム,表得点,裏得点
2080,1944417.csv,ドジャース,アストロズ,12,13
2081,1944419.csv,アストロズ,ドジャース,5,1
2082,1947041.csv,ジャイアンツ,ナショナルズ,2,6
2083,1949561.csv,インディアンス,ツインズ,2,4
2084,1953915.csv,インディアンス,ヤンキース,9,4
2085,1953961.csv,ブレーブス,フィリーズ,5,2
2086,1955324.csv,メッツ,アストロズ,8,12
2087,1958476.csv,レンジャーズ,ブレーブス,12,8
2088,1959982.csv,ヤンキース,オリオールズ,9,1
2089,1977603.csv,ナショナルズ,カブス,5,0
2090,1994481.csv,ロッキーズ,Dバックス,2,8
2091,1994482.csv,ロッキーズ,Dバックス,8,9
2092,1994483.csv,ロッキーズ,Dバックス,2,1
2093,1994484.csv,ドジャース,Dバックス,7,8
2094,1994485.csv,ドジャース,Dバックス,1,6
2095,1994486.csv,ドジャース,Dバックス,0,3
2096,1994489.csv,ジャイアンツ,Dバックス,1,3
2097,1994492.csv,パドレス,Dバックス,2,4
2098,1994494.csv,ドジャース,Dバックス,3,4
2099,1994497.csv,アストロズ,Dバックス,8,0
2100,1994498.csv,アストロズ,Dバックス,3,4
2101,1994499.csv,アストロズ,Dバックス,1,3
2102,1994500.csv,ナショナルズ,Dバックス,2,1
2103,1994557.csv,ナショナルズ,Dバックス,3,1
2104,1994559.csv,ナショナルズ,Dバックス,2,1
2105,1994560.csv,ナショナルズ,Dバックス,6,4
2106,1994563.csv,ブリュワーズ,Dバックス,7,2
2107,1994564.csv,ブリュワーズ,Dバックス,1,2
2108,1994566.csv,ブリュワーズ,Dバックス,8,2
2109,1994567.csv,レッズ,Dバックス,5,12
2110,1994568.csv,レッズ,Dバックス,2,5
2111,1994570.csv,レッズ,Dバックス,7,4
2112,1994571.csv,マーリンズ,Dバックス,1,9
2113,1994572.csv,マーリンズ,Dバックス,2,6
2114,1994573.csv,マーリンズ,Dバックス,1,6
2115,1994574.csv,パイレーツ,Dバックス,5,9
2116,1994575.csv,パイレーツ,Dバックス,8,13
2117,1994577.csv,パイレーツ,Dバックス,5,4
2118,1994578.csv,メッツ,Dバックス,3,6
2119,1994579.csv,メッツ,Dバックス,3,7
2120,1994580.csv,メッツ,Dバックス,5,1
2121,1994581.csv,メッツ,Dバックス,5,3
2122,1994582.csv,ジャイアンツ,Dバックス,2,1
2123,1994584.csv,ジャイアンツ,Dバックス,7,0
2124,1994585.csv,ジャイアンツ,Dバックス,9,6
2125,1994586.csv,カージナルス,Dバックス,6,3
2126,1994588.csv,カージナルス,Dバックス,2,4
2127,1994589.csv,カージナルス,Dバックス,8,4
2128,1994590.csv,パドレス,Dバックス,6,3
2129,1994591.csv,パドレス,Dバックス,1,3
2130,1994592.csv,パドレス,Dバックス,5,20
2131,1994594.csv,パドレス,Dバックス,4,3
2132,1994597.csv,ア・リーグ,ナ・リーグ,8,6
2133,1994598.csv,ロッキーズ,Dバックス,11,10
2134,1994599.csv,ロッキーズ,Dバックス,6,5
2135,1994601.csv,ロッキーズ,Dバックス,1,6
2136,1994602.csv,レンジャーズ,Dバックス,9,5
2137,1994603.csv,レンジャーズ,Dバックス,0,6
2138,1994605.csv,ジャイアンツ,Dバックス,8,1
2139,1994606.csv,ジャイアンツ,Dバックス,3,6
2140,1994607.csv,ジャイアンツ,Dバックス,3,9
2141,1994609.csv,ジャイアンツ,Dバックス,3,2
2142,1994610.csv,フィリーズ,Dバックス,2,3
2143,1994612.csv,フィリーズ,Dバックス,5,2
2144,1994613.csv,フィリーズ,Dバックス,0,6
2145,1994614.csv,エンゼルス,Dバックス,4,4
2146,1994615.csv,エンゼルス,Dバックス,1,5
2147,1994617.csv,マリナーズ,Dバックス,6,3
2148,1994618.csv,マリナーズ,Dバックス,4,3
2149,1994620.csv,マリナーズ,Dバックス,2,5
2150,1994621.csv,パドレス,Dバックス,6,2
2151,1994623.csv,パドレス,Dバックス,0,6
2152,1994625.csv,ブレーブス,Dバックス,7,6
2153,1994626.csv,ブレーブス,Dバックス,3,5
2154,1994628.csv,ブレーブス,Dバックス,9,5
2155,1994629.csv,カブス,Dバックス,5,1
2156,1994630.csv,カブス,Dバックス,9,1
2157,1994631.csv,カブス,Dバックス,0,9
2158,1994632.csv,ロッキーズ,Dバックス,6,2
2159,1994633.csv,ロッキーズ,Dバックス,5,1
2160,1994634.csv,ロッキーズ,Dバックス,2,0
2161,1994635.csv,ドジャース,Dバックス,7,4
2162,1994636.csv,ドジャース,Dバックス,3,4
2163,1994637.csv,ドジャース,Dバックス,2,7
2164,1994673.csv,フィリーズ,ブレーブス,5,8
2165,1994684.csv,フィリーズ,ブレーブス,5,4
2166,1994685.csv,メッツ,ナショナルズ,3,2
2167,1994686.csv,フィリーズ,ブレーブス,2,15
2168,1994687.csv,メッツ,ナショナルズ,6,5
2169,1994689.csv,ブレーブス,ナショナルズ,0,2
2170,1994690.csv,ナショナルズ,ブレーブス,8,1
2171,1994693.csv,ナショナルズ,ブレーブス,6,13
2172,1994694.csv,ナショナルズ,ブレーブス,1,7
2173,1994695.csv,ブレーブス,ナショナルズ,5,3
2174,1994697.csv,フィリーズ,ブレーブス,1,2
2175,1994698.csv,ロッキーズ,ナショナルズ,5,1
2176,1994700.csv,ロッキーズ,ナショナルズ,2,1
2177,1994702.csv,メッツ,ブレーブス,4,12
2178,1994703.csv,ロッキーズ,ナショナルズ,2,6
2179,1994708.csv,ロッキーズ,ナショナルズ,6,5
2180,1994710.csv,Dバックス,ナショナルズ,5,4
2181,1994714.csv,レイズ,Rソックス,3,10
2182,1994719.csv,カブス,ブレーブス,3,2
2183,1994720.csv,カブス,ブレーブス,1,4
2184,1994722.csv,レイズ,Rソックス,7,8
2185,1994725.csv,マーリンズ,ブレーブス,2,0
2186,1994726.csv,マーリンズ,ブレーブス,1,8
2187,1994727.csv,マーリンズ,ブレーブス,9,10
2188,1994728.csv,パイレーツ,ナショナルズ,4,12
2189,1994729.csv,メッツ,ブレーブス,3,4
2190,1994732.csv,ヤンキース,Rソックス,1,14
2191,1994733.csv,メッツ,ブレーブス,6,7
2192,1994735.csv,メッツ,ブレーブス,4,1
2193,1994737.csv,ヤンキース,Rソックス,10,7
2194,1994738.csv,ナショナルズ,ブレーブス,2,4
2195,1994742.csv,ナショナルズ,ブレーブス,0,4
2196,1994744.csv,ヤンキース,Rソックス,3,6
2197,1994745.csv,ナショナルズ,ブレーブス,5,3
2198,1994746.csv,ヤンキース,ナショナルズ,3,5
2199,1994747.csv,ナショナルズ,ブレーブス,2,4
2200,1994750.csv,メッツ,ブレーブス,2,8
2201,1994751.csv,メッツ,ブレーブス,0,2
2202,1994753.csv,オリオールズ,Rソックス,3,7
2203,1994754.csv,パドレス,ブレーブス,2,4
2204,1994755.csv,ドジャース,ナショナルズ,5,4
2205,1994756.csv,パドレス,ブレーブス,9,3
2206,1994758.csv,パドレス,ブレーブス,0,1
2207,1994759.csv,ドジャース,ナショナルズ,7,2
2208,1994760.csv,パドレス,ブレーブス,1,4
2209,1994761.csv,オリオールズ,Rソックス,3,10
2210,1994762.csv,パドレス,ナショナルズ,2,10
2211,1994763.csv,オリオールズ,ブレーブス,10,7
2212,1994764.csv,オリオールズ,ブレーブス,7,5
2213,1994765.csv,パドレス,ナショナルズ,1,2
2214,1994766.csv,オリオールズ,ブレーブス,3,7
2215,1994768.csv,レッズ,ブレーブス,4,5
2216,1994769.csv,パドレス,ナショナルズ,3,1
2217,1994770.csv,レッズ,ブレーブス,5,3
2218,1994771.csv,レッズ,ブレーブス,6,5
2219,1994773.csv,オリオールズ,Rソックス,1,3
2220,1994774.csv,ブルージェイズ,ブレーブス,6,2
2221,1994775.csv,ブルージェイズ,ブレーブス,5,9
2222,1994777.csv,レイズ,ナショナルズ,2,4
2223,1994778.csv,ドジャース,ブレーブス,8,2
2224,1994780.csv,レイズ,ナショナルズ,2,11
2225,1994782.csv,ジャイアンツ,ナショナルズ,9,5
2226,1994783.csv,レイズ,Rソックス,4,3
2227,1994787.csv,ジャイアンツ,ナショナルズ,5,7
2228,1994788.csv,マーリンズ,ブレーブス,3,5
2229,1994789.csv,レイズ,Rソックス,12,6
2230,1994791.csv,マーリンズ,ブレーブス,6,11
2231,1994792.csv,ジャイアンツ,ナショナルズ,2,0
2232,1994793.csv,オリオールズ,ナショナルズ,7,9
2233,1994795.csv,レイズ,Rソックス,3,4
2234,1994796.csv,オリオールズ,ナショナルズ,3,0
2235,1994797.csv,ブリュワーズ,ブレーブス,1,10
2236,1994799.csv,オリオールズ,ナショナルズ,2,4
2237,1994800.csv,ブリュワーズ,ブレーブス,4,2
2238,1994802.csv,ブリュワーズ,ブレーブス,7,8
2239,1994803.csv,フィリーズ,ナショナルズ,12,2
2240,1994804.csv,マーリンズ,ブレーブス,1,6
2241,1994805.csv,フィリーズ,ナショナルズ,5,3
2242,1994806.csv,マーリンズ,ブレーブス,6,10
2243,1994807.csv,フィリーズ,ナショナルズ,6,8
2244,1994808.csv,ロイヤルズ,Rソックス,7,6
2245,1994809.csv,マーリンズ,ブレーブス,2,5
2246,1994811.csv,ロッキーズ,ブレーブス,5,3
2247,1994812.csv,Rソックス,ナショナルズ,4,3
2248,1994813.csv,ロッキーズ,ブレーブス,11,5
2249,1994814.csv,ロイヤルズ,Rソックス,4,5
2250,1994815.csv,ロッキーズ,ブレーブス,5,3
2251,1994816.csv,Rソックス,ナショナルズ,11,4
2252,1994817.csv,ロッキーズ,ブレーブス,4,2
2253,1994818.csv,Rソックス,ナショナルズ,3,0
2254,1994819.csv,レイズ,ブレーブス,5,9
2255,1994820.csv,アスレチックス,Rソックス,6,5
2256,1994822.csv,レイズ,ブレーブス,8,5
2257,1994823.csv,マーリンズ,ナショナルズ,12,14
2258,1994824.csv,アスレチックス,Rソックス,5,3
2259,1994825.csv,マーリンズ,ナショナルズ,2,3
2260,1994826.csv,パイレーツ,ブレーブス,3,2
2261,1994827.csv,マーリンズ,ナショナルズ,4,18
2262,1994829.csv,アスレチックス,Rソックス,4,6
2263,1994830.csv,マーリンズ,ナショナルズ,10,2
2264,1994831.csv,パイレーツ,ブレーブス,3,5
2265,1994832.csv,パイレーツ,ブレーブス,1,5
2266,1994833.csv,ブレーブス,ナショナルズ,8,5
2267,1994834.csv,Rソックス,ブレーブス,8,2
2268,1994835.csv,オリオールズ,Rソックス,7,4
2269,1994838.csv,Rソックス,ブレーブス,5,1
2270,1994839.csv,Rソックス,ブレーブス,9,8
2271,1994840.csv,ブレーブス,ナショナルズ,2,6
2272,1994841.csv,オリオールズ,Rソックス,3,6
2273,1994843.csv,ナショナルズ,ブレーブス,5,10
2274,1994844.csv,ナショナルズ,ブレーブス,7,1
2275,1994845.csv,オリオールズ,Rソックス,0,5
2276,1994846.csv,ナショナルズ,ブレーブス,6,4
2277,1994847.csv,メッツ,ナショナルズ,4,25
2278,1994848.csv,カージナルス,ブレーブス,11,6
2279,1994850.csv,カージナルス,ブレーブス,8,1
2280,1994851.csv,ブレーブス,Rソックス,2,6
2281,1994852.csv,カージナルス,ブレーブス,3,7
2282,1994853.csv,フィリーズ,ブレーブス,3,8
2283,1994855.csv,ブレーブス,Rソックス,6,8
2284,1994856.csv,フィリーズ,ブレーブス,5,6
2285,1994857.csv,メッツ,ナショナルズ,3,5
2286,1994858.csv,フィリーズ,ブレーブス,3,5
2287,1994859.csv,フィリーズ,ブレーブス,1,2
2288,1994860.csv,レッズ,ナショナルズ,4,10
2289,1994861.csv,ブレーブス,Rソックス,7,1
2290,1994862.csv,ブルージェイズ,Rソックス,3,8
2291,1994865.csv,ブルージェイズ,Rソックス,3,8
2292,1994866.csv,レッズ,ナショナルズ,2,6
2293,1994867.csv,レッズ,ナショナルズ,1,2
2294,1994868.csv,ブルージェイズ,Rソックス,4,6
2295,1994869.csv,ブレーブス,ナショナルズ,3,1
2296,1994870.csv,ブレーブス,ナショナルズ,8,3
2297,1994871.csv,タイガース,Rソックス,0,6
2298,1994872.csv,ブレーブス,ナショナルズ,3,6
2299,1994873.csv,マーリンズ,ナショナルズ,2,8
2300,1994874.csv,タイガース,Rソックス,1,7
2301,1994876.csv,タイガース,Rソックス,7,2
2302,1994877.csv,マーリンズ,ナショナルズ,7,5
2303,1994878.csv,マーリンズ,ナショナルズ,12,1
2304,1994880.csv,Wソックス,Rソックス,1,0
2305,1994881.csv,フィリーズ,ナショナルズ,4,10
2306,1994882.csv,フィリーズ,ナショナルズ,7,8
2307,1994883.csv,Wソックス,Rソックス,2,4
2308,1994884.csv,フィリーズ,ナショナルズ,2,0
2309,1994885.csv,ブリュワーズ,ナショナルズ,4,1
2310,1994887.csv,Wソックス,Rソックス,5,2
2311,1994888.csv,ブリュワーズ,ナショナルズ,4,5
2312,1994889.csv,ブリュワーズ,ナショナルズ,9,4
2313,1994891.csv,マリナーズ,Rソックス,10,14
2314,1994892.csv,カージナルス,ナショナルズ,3,4
2315,1994894.csv,カージナルス,ナショナルズ,11,8
2316,1994895.csv,マリナーズ,Rソックス,7,2
2317,1994896.csv,カージナルス,ナショナルズ,7,6
2318,1994898.csv,マリナーズ,Rソックス,0,5
2319,1994899.csv,カブス,ナショナルズ,6,4
2320,1994902.csv,エンゼルス,Rソックス,1,9
2321,1994903.csv,エンゼルス,Rソックス,6,9
2322,1994905.csv,エンゼルス,Rソックス,2,4
2323,1994907.csv,メッツ,ナショナルズ,5,4
2324,1994908.csv,メッツ,ナショナルズ,4,2
2325,1994909.csv,メッツ,ナショナルズ,0,6
2326,1994910.csv,メッツ,ナショナルズ,8,6
2327,1994911.csv,レンジャーズ,Rソックス,0,5
2328,1994912.csv,マーリンズ,ナショナルズ,3,7
2329,1994914.csv,マーリンズ,ナショナルズ,4,9
2330,1994915.csv,マーリンズ,ナショナルズ,3,9
2331,1994916.csv,レンジャーズ,Rソックス,2,4
2332,1994917.csv,ブルージェイズ,Rソックス,4,6
2333,1994918.csv,ブルージェイズ,Rソックス,13,7
2334,1994919.csv,ブルージェイズ,Rソックス,2,6
2335,1994920.csv,ブルージェイズ,Rソックス,2,5
2336,1994921.csv,ヤンキース,ブルージェイズ,6,1
2337,1994922.csv,ヤンキース,ブルージェイズ,4,2
2338,1994923.csv,ツインズ,Rソックス,2,1
2339,1994924.csv,ヤンキース,ブルージェイズ,3,5
2340,1994926.csv,ヤンキース,ブルージェイズ,4,7
2341,1994927.csv,Wソックス,ブルージェイズ,2,4
2342,1994928.csv,Wソックス,ブルージェイズ,5,14
2343,1994929.csv,ツインズ,Rソックス,4,10
2344,1994930.csv,Wソックス,ブルージェイズ,4,3
2345,1994931.csv,ツインズ,Rソックス,0,3
2346,1994933.csv,ロイヤルズ,ブルージェイズ,3,11
2347,1994934.csv,フィリーズ,Rソックス,1,2
2348,1994936.csv,フィリーズ,Rソックス,3,1
2349,1994937.csv,Rソックス,ブルージェイズ,3,4
2350,1994938.csv,Rソックス,ブルージェイズ,4,3
2351,1994939.csv,ヤンキース,Rソックス,7,15
2352,1994940.csv,Rソックス,ブルージェイズ,5,4
2353,1994941.csv,レンジャーズ,ブルージェイズ,6,4
2354,1994942.csv,ヤンキース,Rソックス,1,4
2355,1994943.csv,ヤンキース,Rソックス,1,4
2356,1994945.csv,ヤンキース,Rソックス,4,5
2357,1994947.csv,レイズ,Rソックス,3,7
2358,1994948.csv,レイズ,Rソックス,2,5
2359,1994949.csv,レイズ,Rソックス,2,0
2360,1994950.csv,インディアンス,Rソックス,5,4
2361,1994951.csv,インディアンス,Rソックス,6,3
2362,1994952.csv,インディアンス,Rソックス,4,10
2363,1994953.csv,インディアンス,Rソックス,0,7
2364,1994954.csv,マーリンズ,Rソックス,7,7
2365,1994955.csv,マーリンズ,Rソックス,6,14
2366,1994956.csv,アストロズ,Rソックス,6,3
2367,1994958.csv,アストロズ,Rソックス,5,6
2368,1994959.csv,ブルージェイズ,Rソックス,2,7
2369,1994960.csv,ブルージェイズ,Rソックス,0,1
2370,1994961.csv,ブルージェイズ,Rソックス,3,4
2371,1994962.csv,メッツ,Rソックス,8,0
2372,1994963.csv,メッツ,Rソックス,3,5
2373,1994964.csv,メッツ,Rソックス,3,4
2374,1994965.csv,オリオールズ,Rソックス,2,6
2375,1994967.csv,オリオールズ,Rソックス,10,3
2376,1994968.csv,マリナーズ,ブルージェイズ,5,0
2377,1994969.csv,マリナーズ,ブルージェイズ,2,5
2378,1994970.csv,ヤンキース,Rソックス,11,6
2379,1994971.csv,マリナーズ,ブルージェイズ,9,3
2380,1994972.csv,Rソックス,ブルージェイズ,3,5
2381,1994973.csv,ヤンキース,Rソックス,8,5
2382,1994974.csv,Rソックス,ブルージェイズ,5,2
2383,1994975.csv,ヤンキース,Rソックス,2,10
2384,1994976.csv,Rソックス,ブルージェイズ,5,3
2385,1994977.csv,アスレチックス,ブルージェイズ,10,5
2386,1994978.csv,アスレチックス,ブルージェイズ,3,1
2387,1994979.csv,アスレチックス,ブルージェイズ,5,4
2388,1994980.csv,アスレチックス,ブルージェイズ,9,2
2389,1994981.csv,エンゼルス,ブルージェイズ,3,5
2390,1994982.csv,エンゼルス,ブルージェイズ,5,4
2391,1994983.csv,エンゼルス,ブルージェイズ,8,1
2392,1994984.csv,ヤンキース,ブルージェイズ,7,2
2393,1994986.csv,ヤンキース,ブルージェイズ,3,0
2394,1994987.csv,オリオールズ,ブルージェイズ,4,5
2395,1994988.csv,タイガース,Wソックス,6,1
2396,1994989.csv,オリオールズ,ブルージェイズ,1,5
2397,1994990.csv,オリオールズ,ブルージェイズ,3,4
2398,1994991.csv,タイガース,Wソックス,1,0
2399,1994992.csv,オリオールズ,ブルージェイズ,3,13
2400,1994993.csv,レイズ,Wソックス,5,4
2401,1994994.csv,ナショナルズ,ブルージェイズ,5,6
2402,1994995.csv,ナショナルズ,ブルージェイズ,0,2
2403,1994996.csv,ナショナルズ,ブルージェイズ,6,8
2404,1994997.csv,レイズ,Wソックス,6,5
2405,1994998.csv,ブレーブス,ブルージェイズ,11,4
2406,1994999.csv,レイズ,Wソックス,1,2
2407,1995000.csv,ブレーブス,ブルージェイズ,4,5
2408,1995002.csv,タイガース,ブルージェイズ,2,3
2409,1995003.csv,タイガース,ブルージェイズ,3,4
2410,1995004.csv,アストロズ,Wソックス,10,1
2411,1995005.csv,アストロズ,Wソックス,7,1
2412,1995007.csv,マリナーズ,Wソックス,1,0
2413,1995008.csv,マリナーズ,Wソックス,4,3
2414,1995009.csv,タイガース,ブルージェイズ,9,1
2415,1995010.csv,タイガース,ブルージェイズ,3,2
2416,1995012.csv,メッツ,ブルージェイズ,6,8
2417,1995013.csv,メッツ,ブルージェイズ,6,3
2418,1995015.csv,ヤンキース,ブルージェイズ,2,6
2419,1995016.csv,ツインズ,Wソックス,8,4
2420,1995017.csv,ヤンキース,ブルージェイズ,8,5
2421,1995018.csv,ヤンキース,ブルージェイズ,2,1
2422,1995019.csv,ツインズ,Wソックス,5,3
2423,1995020.csv,オリオールズ,ブルージェイズ,7,8
2424,1995021.csv,パイレーツ,Wソックス,10,6
2425,1995022.csv,オリオールズ,ブルージェイズ,1,4
2426,1995023.csv,パイレーツ,Wソックス,6,5
2427,1995024.csv,オリオールズ,ブルージェイズ,4,5
2428,1995025.csv,ツインズ,ブルージェイズ,8,3
2429,1995026.csv,レンジャーズ,Wソックス,2,4
2430,1995027.csv,ツインズ,ブルージェイズ,5,0
2431,1995028.csv,レンジャーズ,Wソックス,12,5
2432,1995029.csv,ツインズ,ブルージェイズ,12,6
2433,1995030.csv,レンジャーズ,Wソックス,3,5
2434,1995031.csv,レンジャーズ,Wソックス,0,3
2435,1995032.csv,オリオールズ,Wソックス,3,2
2436,1995033.csv,オリオールズ,Wソックス,2,3
2437,1995034.csv,Rソックス,ブルージェイズ,10,7
2438,1995035.csv,オリオールズ,Wソックス,1,11
2439,1995036.csv,Rソックス,ブルージェイズ,10,5
2440,1995037.csv,オリオールズ,Wソックス,9,3
2441,1995038.csv,Rソックス,ブルージェイズ,5,8
2442,1995039.csv,レイズ,ブルージェイズ,7,0
2443,1995040.csv,レイズ,ブルージェイズ,3,1
2444,1995041.csv,ブリュワーズ,Wソックス,3,8
2445,1995042.csv,レイズ,ブルージェイズ,1,2
2446,1995043.csv,オリオールズ,ブルージェイズ,3,5
2447,1995044.csv,ブリュワーズ,Wソックス,5,0
2448,1995045.csv,オリオールズ,ブルージェイズ,0,6
2449,1995046.csv,ブリュワーズ,Wソックス,1,6
2450,1995047.csv,オリオールズ,ブルージェイズ,2,8
2451,1995048.csv,フィリーズ,ブルージェイズ,2,4
2452,1995049.csv,インディアンス,Wソックス,4,0
2453,1995050.csv,フィリーズ,ブルージェイズ,6,8
2454,1995051.csv,インディアンス,Wソックス,1,5
2455,1995052.csv,フィリーズ,ブルージェイズ,8,3
2456,1995053.csv,インディアンス,Wソックス,2,3
2457,1995054.csv,インディアンス,Wソックス,5,2
2458,1995055.csv,タイガース,Wソックス,4,3
2459,1995056.csv,タイガース,Wソックス,7,5
2460,1995057.csv,レイズ,ブルージェイズ,7,1
2461,1995058.csv,タイガース,Wソックス,3,1
2462,1995059.csv,レイズ,ブルージェイズ,4,0
2463,1995060.csv,レイズ,ブルージェイズ,3,10
2464,1995062.csv,インディアンス,ブルージェイズ,9,4
2465,1995063.csv,インディアンス,ブルージェイズ,2,3
2466,1995064.csv,アスレチックス,Wソックス,11,2
2467,1995066.csv,アスレチックス,Wソックス,7,6
2468,1995067.csv,インディアンス,ブルージェイズ,2,6
2469,1995068.csv,レイズ,ブルージェイズ,8,9
2470,1995069.csv,アスレチックス,Wソックス,3,10
2471,1995070.csv,レイズ,ブルージェイズ,11,3
2472,1995071.csv,レイズ,ブルージェイズ,2,5
2473,1995072.csv,レイズ,ブルージェイズ,5,2
2474,1995073.csv,ツインズ,Wソックス,1,6
2475,1995074.csv,アストロズ,ブルージェイズ,5,3
2476,1995075.csv,ツインズ,Wソックス,2,1
2477,1995076.csv,アストロズ,ブルージェイズ,4,1
2478,1995077.csv,アストロズ,ブルージェイズ,1,3
2479,1995078.csv,カージナルス,Wソックス,14,2
2480,1995079.csv,カージナルス,Wソックス,0,4
2481,1995080.csv,ロイヤルズ,Wソックス,6,9
2482,1995081.csv,ロイヤルズ,Wソックス,5,0
2483,1995082.csv,アストロズ,レンジャーズ,4,1
2484,1995083.csv,ロイヤルズ,Wソックス,1,10
2485,1995084.csv,アストロズ,レンジャーズ,1,5
2486,1995087.csv,ブルージェイズ,Wソックス,5,9
2487,1995088.csv,アストロズ,レンジャーズ,9,3
2488,1995089.csv,パイレーツ,カブス,5,13
2489,1995090.csv,ブルージェイズ,Wソックス,7,4
2490,1995091.csv,アストロズ,レンジャーズ,8,2
2491,1995093.csv,パイレーツ,カブス,6,1
2492,1995094.csv,ロイヤルズ,Wソックス,4,2
2493,1995095.csv,ブルージェイズ,レンジャーズ,1,5
2494,1995096.csv,ブルージェイズ,レンジャーズ,7,4
2495,1995097.csv,エンゼルス,レンジャーズ,8,3
2496,1995098.csv,ブレーブス,カブス,4,0
2497,1995099.csv,ロイヤルズ,Wソックス,10,5
2498,1995101.csv,ブレーブス,カブス,10,14
2499,1995102.csv,ロイヤルズ,Wソックス,4,6
2500,1995103.csv,エンゼルス,レンジャーズ,7,2
2501,1995107.csv,マリナーズ,レンジャーズ,4,7
2502,1995108.csv,ヤンキース,Wソックス,7,0
2503,1995111.csv,ヤンキース,Wソックス,4,3
2504,1995115.csv,ヤンキース,Wソックス,7,3
2505,1995116.csv,インディアンス,Wソックス,0,1
2506,1995117.csv,インディアンス,Wソックス,3,1
2507,1995120.csv,インディアンス,Wソックス,9,7
2508,1995123.csv,ブリュワーズ,カブス,0,1
2509,1995125.csv,ブリュワーズ,カブス,2,3
2510,1995126.csv,ロイヤルズ,Wソックス,3,9
2511,1995130.csv,タイガース,レンジャーズ,4,5
2512,1995131.csv,ロイヤルズ,Wソックス,3,1
2513,1995133.csv,ヤンキース,レンジャーズ,10,5
2514,1995134.csv,ヤンキース,レンジャーズ,4,6
2515,1995136.csv,ロイヤルズ,Wソックス,6,7
2516,1995137.csv,ヤンキース,レンジャーズ,10,12
2517,1995138.csv,ツインズ,Wソックス,5,2
2518,1995139.csv,ロッキーズ,カブス,3,1
2519,1995140.csv,ロイヤルズ,レンジャーズ,8,2
2520,1995141.csv,ロイヤルズ,レンジャーズ,4,8
2521,1995142.csv,ツインズ,Wソックス,3,7
2522,1995144.csv,ロイヤルズ,レンジャーズ,3,4
2523,1995146.csv,Rソックス,Wソックス,9,4
2524,1995147.csv,ロイヤルズ,レンジャーズ,5,3
2525,1995149.csv,Rソックス,Wソックス,1,6
2526,1995150.csv,マーリンズ,カブス,4,13
2527,1995151.csv,Rソックス,Wソックス,6,1
2528,1995152.csv,アスレチックス,レンジャーズ,4,7
2529,1995153.csv,Wソックス,カブス,2,11
2530,1995154.csv,アスレチックス,レンジャーズ,2,8
2531,1995155.csv,Rソックス,Wソックス,0,8
2532,1995156.csv,アストロズ,レンジャーズ,5,2
2533,1995157.csv,タイガース,Wソックス,2,4
2534,1995158.csv,アストロズ,レンジャーズ,7,3
2535,1995159.csv,Wソックス,カブス,4,8
2536,1995160.csv,Wソックス,カブス,5,3
2537,1995161.csv,アストロズ,レンジャーズ,4,3
2538,1995162.csv,タイガース,Wソックス,8,3
2539,1995163.csv,アストロズ,レンジャーズ,8,7
2540,1995164.csv,タイガース,Wソックス,10,2
2541,1995165.csv,インディアンス,カブス,10,1
2542,1995166.csv,ロッキーズ,レンジャーズ,9,5
2543,1995167.csv,エンゼルス,Wソックス,5,2
2544,1995168.csv,インディアンス,カブス,1,0
2545,1995169.csv,ロッキーズ,レンジャーズ,2,5
2546,1995171.csv,ロッキーズ,レンジャーズ,12,13
2547,1995172.csv,ジャイアンツ,カブス,2,6
2548,1995173.csv,エンゼルス,Wソックス,1,0
2549,1995174.csv,パドレス,レンジャーズ,4,7
2550,1995175.csv,ジャイアンツ,カブス,5,4
2551,1995176.csv,パドレス,レンジャーズ,3,2
2552,1995177.csv,カブス,Wソックス,4,10
2553,1995178.csv,ジャイアンツ,カブス,3,8
2554,1995179.csv,パドレス,レンジャーズ,2,5
2555,1995180.csv,カブス,Wソックス,8,3
2556,1995181.csv,Wソックス,レンジャーズ,3,11
2557,1995182.csv,フィリーズ,カブス,6,1
2558,1995183.csv,Wソックス,レンジャーズ,4,13
2559,1995184.csv,カブス,Wソックス,6,1
2560,1995185.csv,フィリーズ,カブス,5,7
2561,1995186.csv,インディアンス,Wソックス,4,0
2562,1995187.csv,フィリーズ,カブス,3,4
2563,1995188.csv,インディアンス,Wソックス,4,5
2564,1995189.csv,Wソックス,レンジャーズ,10,5
2565,1995190.csv,インディアンス,Wソックス,10,2
2566,1995191.csv,パイレーツ,カブス,1,3
2567,1995192.csv,アストロズ,レンジャーズ,5,3
2568,1995193.csv,アストロズ,レンジャーズ,5,4
2569,1995194.csv,インディアンス,レンジャーズ,9,8
2570,1995195.csv,インディアンス,レンジャーズ,16,3
2571,1995196.csv,パイレーツ,カブス,0,2
2572,1995197.csv,インディアンス,レンジャーズ,0,5
2573,1995198.csv,アスレチックス,レンジャーズ,15,3
2574,1995199.csv,パイレーツ,カブス,7,1
2575,1995200.csv,アスレチックス,レンジャーズ,13,10
2576,1995201.csv,アスレチックス,レンジャーズ,6,5
2577,1995203.csv,アスレチックス,レンジャーズ,7,6
2578,1995204.csv,ドジャース,カブス,1,2
2579,1995205.csv,オリオールズ,レンジャーズ,8,17
2580,1995206.csv,ドジャース,カブス,0,4
2581,1995207.csv,ツインズ,オリオールズ,2,3
2582,1995208.csv,オリオールズ,レンジャーズ,3,11
2583,1995209.csv,ツインズ,オリオールズ,6,2
2584,1995210.csv,ツインズ,カブス,6,10
