,試合ID,表チーム,裏チーム,表得点,裏得点
1143,1704188.csv,エンゼルス,メッツ,12,5
1144,1704189.csv,オリオールズ,レッズ,3,9
1145,1704190.csv,パドレス,レンジャーズ,2,5
1146,1704191.csv,アスレチックス,レンジャーズ,2,5
1147,1704192.csv,オリオールズ,レッズ,2,0
1148,1704193.csv,パドレス,メッツ,3,9
1149,1704194.csv,アスレチックス,レンジャーズ,5,6
1150,1704195.csv,オリオールズ,レッズ,2,1
1151,1704196.csv,アスレチックス,レンジャーズ,4,6
1152,1704197.csv,パドレス,メッツ,6,5
1153,1704198.csv,フィリーズ,レンジャーズ,1,5
1154,1704199.csv,カブス,レッズ,6,5
1155,1704200.csv,フィリーズ,レンジャーズ,3,9
1156,1704201.csv,エンゼルス,マリナーズ,6,4
1157,1704202.csv,フィリーズ,レンジャーズ,4,8
1158,1704203.csv,パドレス,メッツ,4,3
1159,1704204.csv,カブス,レッズ,12,8
1160,1704205.csv,レイズ,レンジャーズ,10,8
1161,1704206.csv,カブス,レッズ,5,7
1162,1704207.csv,レイズ,レンジャーズ,5,9
1163,1704208.csv,レイズ,レンジャーズ,7,5
1164,1704210.csv,エンゼルス,マリナーズ,7,8
1165,1704211.csv,パイレーツ,レッズ,3,4
1166,1704212.csv,アストロズ,レンジャーズ,6,5
1167,1704213.csv,エンゼルス,マリナーズ,3,11
1168,1704214.csv,アストロズ,レンジャーズ,7,2
1169,1704215.csv,パイレーツ,レッズ,12,3
1170,1704216.csv,レンジャーズ,マリナーズ,3,1
1171,1704217.csv,メッツ,レンジャーズ,8,10
1172,1704218.csv,パイレーツ,レッズ,2,7
1173,1704219.csv,レンジャーズ,マリナーズ,2,8
1174,1704220.csv,メッツ,レンジャーズ,4,3
1175,1704221.csv,レンジャーズ,マリナーズ,3,4
1176,1704222.csv,パイレーツ,レッズ,2,4
1177,1704223.csv,マリナーズ,レンジャーズ,4,10
1178,1704225.csv,ジャイアンツ,レッズ,3,13
1179,1704227.csv,ブルージェイズ,レンジャーズ,7,6
1180,1704228.csv,アスレチックス,マリナーズ,5,6
1181,1704229.csv,ジャイアンツ,レッズ,2,14
1182,1704230.csv,ブルージェイズ,レンジャーズ,1,6
1183,1704231.csv,アスレチックス,マリナーズ,9,6
1184,1704232.csv,ブルージェイズ,レンジャーズ,7,5
1185,1704233.csv,ジャイアンツ,レッズ,0,4
1186,1704234.csv,アスレチックス,マリナーズ,0,4
1187,1704235.csv,ブルージェイズ,レンジャーズ,4,11
1188,1704236.csv,Wソックス,マリナーズ,4,5
1189,1704237.csv,ヤンキース,レッズ,10,4
1190,1704238.csv,Wソックス,マリナーズ,2,1
1191,1704239.csv,Wソックス,マリナーズ,16,1
1192,1704240.csv,ヤンキース,レッズ,3,5
1193,1704242.csv,ロッキーズ,レッズ,12,6
1194,1704243.csv,ロッキーズ,マリナーズ,0,5
1195,1704244.csv,ロッキーズ,レッズ,8,12
1196,1704245.csv,ロッキーズ,マリナーズ,6,3
1197,1704248.csv,レイズ,マリナーズ,2,9
1198,1704249.csv,インディアンス,レッズ,1,5
1199,1704250.csv,レイズ,マリナーズ,1,7
1200,1704251.csv,インディアンス,レッズ,8,7
